2026-07-14 13:09:35,604 | INFO     | __main__ | === Starting daily ingestion pipeline for topic: 'Advancements in AI in the medical field' ===
2026-07-14 16:08:55,869 | WARNING  | ingestion | Skipping failed/empty scrape: https://pmc.ncbi.nlm.nih.gov/articles/PMC10740686/
2026-07-14 16:08:55,869 | INFO     | ingestion | Scraping: https://www.nature.com/collections/bjeiihhgfa
2026-07-14 16:08:59,048 | INFO     | ingestion | Skipping stale article (published 2024-07-31T00:00:00): https://www.nature.com/collections/bjeiihhgfa
2026-07-14 16:08:59,050 | INFO     | ingestion | Scraping: https://www.nature.com/articles/s41598-025-26855-8
2026-07-14 16:09:02,689 | INFO     | ingestion | Skipping stale article (published 2025-11-28T00:00:00): https://www.nature.com/articles/s41598-025-26855-8
2026-07-14 16:09:02,689 | INFO     | ingestion | Scraping: https://www.coursera.org/specializations/ai-for-medicine
2026-07-14 16:09:04,078 | INFO     | ingestion | Scraping: https://www.gupshup.ai/resources/blog/healthcare-chatbot/
2026-07-14 16:09:05,454 | INFO     | ingestion | Skipping stale article (published 2024-09-11T10:43:11): https://www.gupshup.ai/resources/blog/healthcare-chatbot/
2026-07-14 16:09:05,454 | INFO     | ingestion | Scraping: https://medium.com/@saxonai/how-does-conversational-ai-solve-patient-obstacles-552874a05a19
2026-07-14 16:09:06,632 | INFO     | ingestion | Skipping stale article (published 2022-08-10T09:02:26): https://medium.com/@saxonai/how-does-conversational-ai-solve-patient-obstacles-552874a05a19
2026-07-14 16:09:06,632 | INFO     | ingestion | Scraping: https://medium.com/curai-tech/nlp-healthcare-understanding-the-language-of-medicine-e9917bbf49e7
2026-07-14 16:09:07,971 | INFO     | ingestion | Skipping stale article (published 2020-02-27T21:30:07): https://medium.com/curai-tech/nlp-healthcare-understanding-the-language-of-medicine-e9917bbf49e7
2026-07-14 16:09:07,971 | INFO     | ingestion | Scraping complete: 2 succeeded, 2 failed, 6 stale, 0 irrelevant, ~1640 tokens used.
2026-07-14 16:09:08,179 | INFO     | agents.vector_db_agent | Indexed doc https://www.nmbu.no/en/research/strengths-and-limitations-deep-learning-medical-diagnostics: 1 chunks total, 1 new (deduped 0)
2026-07-14 16:09:08,412 | INFO     | agents.vector_db_agent | Indexed doc https://www.coursera.org/specializations/ai-for-medicine: 2 chunks total, 2 new (deduped 0)
2026-07-14 16:09:08,420 | INFO     | agents.vector_db_agent | Indexing report: {'documents_processed': 2, 'documents_skipped_empty_or_short': 0, 'chunks_seen': 3, 'chunks_added': 3, 'chunks_deduped': 0, 'chunks_purged_retention': 0, 'total_chunks_in_db': 32}
2026-07-14 16:09:08,436 | INFO     | ingestion | === Ingestion pipeline complete. Report saved to ./reports\ingestion_report_20260714_160809.json ===
